id,school,mascot,abbreviation,alternateNames,conference,division,classification,color,alternateColor,logos,twitter,location
203,Linfield,Wildcats,LINF,"[""LINF"",""Linfield""]",Northwest,null,iii,#46256a,#d41e47,"[""https://cdn.collegefootballdata.com/logos/500/203.png"",""https://cdn.collegefootballdata.com/logos-dark/500/203.png"",""https://cdn.collegefootballdata.com/logos/256/203.png"",""https://cdn.collegefootballdata.com/logos-dark/256/203.png"",""https://cdn.collegefootballdata.com/logos/128/203.png"",""https://cdn.collegefootballdata.com/logos-dark/128/203.png"",""https://cdn.collegefootballdata.com/logos/96/203.png"",""https://cdn.collegefootballdata.com/logos-dark/96/203.png"",""https://cdn.collegefootballdata.com/logos/64/203.png"",""https://cdn.collegefootballdata.com/logos-dark/64/203.png"",""https://cdn.collegefootballdata.com/logos/48/203.png"",""https://cdn.collegefootballdata.com/logos-dark/48/203.png"",""https://cdn.collegefootballdata.com/logos/32/203.png"",""https://cdn.collegefootballdata.com/logos-dark/32/203.png"",""https://cdn.collegefootballdata.com/logos/16/203.png"",""https://cdn.collegefootballdata.com/logos-dark/16/203.png""]",null,"{""capacity"":""4000"",""city"":""Mcminnville"",""constructionYear"":null,""countryCode"":""US"",""dome"":""false"",""elevation"":""50"",""grass"":null,""id"":""5119"",""latitude"":""45.2100367"",""longitude"":""-123.194463"",""name"":""Maxwell Field"",""state"":""OR"",""timezone"":""America/Los_Angeles"",""zip"":""97128""}"
2940,Livingstone,Blue Bears,LIV,"[""LIV"",""Livingstone""]",CIAA,Southern,ii,#000000,#null,"[""https://cdn.collegefootballdata.com/logos/500/2940.png"",""https://cdn.collegefootballdata.com/logos-dark/500/2940.png"",""https://cdn.collegefootballdata.com/logos/256/2940.png"",""https://cdn.collegefootballdata.com/logos-dark/256/2940.png"",""https://cdn.collegefootballdata.com/logos/128/2940.png"",""https://cdn.collegefootballdata.com/logos-dark/128/2940.png"",""https://cdn.collegefootballdata.com/logos/96/2940.png"",""https://cdn.collegefootballdata.com/logos-dark/96/2940.png"",""https://cdn.collegefootballdata.com/logos/64/2940.png"",""https://cdn.collegefootballdata.com/logos-dark/64/2940.png"",""https://cdn.collegefootballdata.com/logos/48/2940.png"",""https://cdn.collegefootballdata.com/logos-dark/48/2940.png"",""https://cdn.collegefootballdata.com/logos/32/2940.png"",""https://cdn.collegefootballdata.com/logos-dark/32/2940.png"",""https://cdn.collegefootballdata.com/logos/16/2940.png"",""https://cdn.collegefootballdata.com/logos-dark/16/2940.png""]",null,"{""capacity"":""6000"",""city"":""Salisbury"",""constructionYear"":null,""countryCode"":""US"",""dome"":""false"",""elevation"":null,""grass"":null,""id"":""3612"",""latitude"":""35.6709727"",""longitude"":""-80.4742261"",""name"":""Alumni Memorial Stadium (NC)"",""state"":""NC"",""timezone"":null,""zip"":""28144""}"
209,Lock Haven,Bald Eagles,LHU,"[""LHU"",""Lock Haven""]",Pennsylvania State Athletic,Eastern,ii,#000000,#null,"[""https://cdn.collegefootballdata.com/logos/500/209.png"",""https://cdn.collegefootballdata.com/logos-dark/500/209.png"",""https://cdn.collegefootballdata.com/logos/256/209.png"",""https://cdn.collegefootballdata.com/logos-dark/256/209.png"",""https://cdn.collegefootballdata.com/logos/128/209.png"",""https://cdn.collegefootballdata.com/logos-dark/128/209.png"",""https://cdn.collegefootballdata.com/logos/96/209.png"",""https://cdn.collegefootballdata.com/logos-dark/96/209.png"",""https://cdn.collegefootballdata.com/logos/64/209.png"",""https://cdn.collegefootballdata.com/logos-dark/64/209.png"",""https://cdn.collegefootballdata.com/logos/48/209.png"",""https://cdn.collegefootballdata.com/logos-dark/48/209.png"",""https://cdn.collegefootballdata.com/logos/32/209.png"",""https://cdn.collegefootballdata.com/logos-dark/32/209.png"",""https://cdn.collegefootballdata.com/logos/16/209.png"",""https://cdn.collegefootballdata.com/logos-dark/16/209.png""]",null,"{""capacity"":""3500"",""city"":""Lock Haven"",""constructionYear"":null,""countryCode"":""US"",""dome"":""false"",""elevation"":null,""grass"":null,""id"":""3760"",""latitude"":""41.1369077"",""longitude"":""-77.4471641"",""name"":""Hubert Jack Stadium"",""state"":""PA"",""timezone"":null,""zip"":null}"
2341,Long Island University,Sharks,LIU,"[""LIU"",""Long Island""]",NEC,null,fcs,#null,#null,"[""https://cdn.collegefootballdata.com/logos/500/2341.png"",""https://cdn.collegefootballdata.com/logos-dark/500/2341.png"",""https://cdn.collegefootballdata.com/logos/256/2341.png"",""https://cdn.collegefootballdata.com/logos-dark/256/2341.png"",""https://cdn.collegefootballdata.com/logos/128/2341.png"",""https://cdn.collegefootballdata.com/logos-dark/128/2341.png"",""https://cdn.collegefootballdata.com/logos/96/2341.png"",""https://cdn.collegefootballdata.com/logos-dark/96/2341.png"",""https://cdn.collegefootballdata.com/logos/64/2341.png"",""https://cdn.collegefootballdata.com/logos-dark/64/2341.png"",""https://cdn.collegefootballdata.com/logos/48/2341.png"",""https://cdn.collegefootballdata.com/logos-dark/48/2341.png"",""https://cdn.collegefootballdata.com/logos/32/2341.png"",""https://cdn.collegefootballdata.com/logos-dark/32/2341.png"",""https://cdn.collegefootballdata.com/logos/16/2341.png"",""https://cdn.collegefootballdata.com/logos-dark/16/2341.png""]",null,"{""capacity"":""6000"",""city"":""Brookville"",""constructionYear"":""1966"",""countryCode"":""US"",""dome"":""false"",""elevation"":""236"",""grass"":""false"",""id"":""6043"",""latitude"":""40.816284"",""longitude"":""-73.589546"",""name"":""Bethpage Federal Credit Union Stadium"",""state"":""NY"",""timezone"":""America/New_York"",""zip"":""11545""}"
263,Loras,Duhawks,LOR,"[""LOR"",""Loras""]",American Rivers,null,iii,#452d7d,#d2b888,"[""https://cdn.collegefootballdata.com/logos/500/263.png"",""https://cdn.collegefootballdata.com/logos-dark/500/263.png"",""https://cdn.collegefootballdata.com/logos/256/263.png"",""https://cdn.collegefootballdata.com/logos-dark/256/263.png"",""https://cdn.collegefootballdata.com/logos/128/263.png"",""https://cdn.collegefootballdata.com/logos-dark/128/263.png"",""https://cdn.collegefootballdata.com/logos/96/263.png"",""https://cdn.collegefootballdata.com/logos-dark/96/263.png"",""https://cdn.collegefootballdata.com/logos/64/263.png"",""https://cdn.collegefootballdata.com/logos-dark/64/263.png"",""https://cdn.collegefootballdata.com/logos/48/263.png"",""https://cdn.collegefootballdata.com/logos-dark/48/263.png"",""https://cdn.collegefootballdata.com/logos/32/263.png"",""https://cdn.collegefootballdata.com/logos-dark/32/263.png"",""https://cdn.collegefootballdata.com/logos/16/263.png"",""https://cdn.collegefootballdata.com/logos-dark/16/263.png""]",null,"{""capacity"":""10000"",""city"":""Dubuque"",""constructionYear"":null,""countryCode"":""US"",""dome"":""false"",""elevation"":null,""grass"":null,""id"":""5921"",""latitude"":""42.5006243"",""longitude"":""-90.6647985"",""name"":""Rock Bowl"",""state"":""IA"",""timezone"":null,""zip"":""50118""}"
309,Louisiana,Ragin' Cajuns,UL,"[""UL Lafayette"",""UL"",""Louisiana""]",Sun Belt,West,fbs,#ce181e,#000000,"[""https://cdn.collegefootballdata.com/logos/500/309.png"",""https://cdn.collegefootballdata.com/logos-dark/500/309.png"",""https://cdn.collegefootballdata.com/logos/256/309.png"",""https://cdn.collegefootballdata.com/logos-dark/256/309.png"",""https://cdn.collegefootballdata.com/logos/128/309.png"",""https://cdn.collegefootballdata.com/logos-dark/128/309.png"",""https://cdn.collegefootballdata.com/logos/96/309.png"",""https://cdn.collegefootballdata.com/logos-dark/96/309.png"",""https://cdn.collegefootballdata.com/logos/64/309.png"",""https://cdn.collegefootballdata.com/logos-dark/64/309.png"",""https://cdn.collegefootballdata.com/logos/48/309.png"",""https://cdn.collegefootballdata.com/logos-dark/48/309.png"",""https://cdn.collegefootballdata.com/logos/32/309.png"",""https://cdn.collegefootballdata.com/logos-dark/32/309.png"",""https://cdn.collegefootballdata.com/logos/16/309.png"",""https://cdn.collegefootballdata.com/logos-dark/16/309.png""]",@RaginCajunsFB,"{""capacity"":""41426"",""city"":""Lafayette"",""constructionYear"":""1971"",""countryCode"":""US"",""dome"":""false"",""elevation"":""3.556508303"",""grass"":""false"",""id"":""3666"",""latitude"":""30.2158434"",""longitude"":""-92.0417371"",""name"":""Cajun Field"",""state"":""LA"",""timezone"":""America/Chicago"",""zip"":""70506""}"
2348,Louisiana Tech,Bulldogs,LT,"[""LT"",""Louisiana Tech""]",Conference USA,null,fbs,#003087,#cb333b,"[""https://cdn.collegefootballdata.com/logos/500/2348.png"",""https://cdn.collegefootballdata.com/logos-dark/500/2348.png"",""https://cdn.collegefootballdata.com/logos/256/2348.png"",""https://cdn.collegefootballdata.com/logos-dark/256/2348.png"",""https://cdn.collegefootballdata.com/logos/128/2348.png"",""https://cdn.collegefootballdata.com/logos-dark/128/2348.png"",""https://cdn.collegefootballdata.com/logos/96/2348.png"",""https://cdn.collegefootballdata.com/logos-dark/96/2348.png"",""https://cdn.collegefootballdata.com/logos/64/2348.png"",""https://cdn.collegefootballdata.com/logos-dark/64/2348.png"",""https://cdn.collegefootballdata.com/logos/48/2348.png"",""https://cdn.collegefootballdata.com/logos-dark/48/2348.png"",""https://cdn.collegefootballdata.com/logos/32/2348.png"",""https://cdn.collegefootballdata.com/logos-dark/32/2348.png"",""https://cdn.collegefootballdata.com/logos/16/2348.png"",""https://cdn.collegefootballdata.com/logos-dark/16/2348.png""]",@LATechFB,"{""capacity"":""28019"",""city"":""Ruston"",""constructionYear"":""1968"",""countryCode"":""US"",""dome"":""false"",""elevation"":""72.87982941"",""grass"":""false"",""id"":""3776"",""latitude"":""32.5321487"",""longitude"":""-92.6560019"",""name"":""Joe Aillet Stadium"",""state"":""LA"",""timezone"":""America/Chicago"",""zip"":""71272""}"
97,Louisville,Cardinals,LOU,"[""LOU"",""Louisville""]",ACC,null,fbs,#c9001f,#000000,"[""https://cdn.collegefootballdata.com/logos/500/97.png"",""https://cdn.collegefootballdata.com/logos-dark/500/97.png"",""https://cdn.collegefootballdata.com/logos/256/97.png"",""https://cdn.collegefootballdata.com/logos-dark/256/97.png"",""https://cdn.collegefootballdata.com/logos/128/97.png"",""https://cdn.collegefootballdata.com/logos-dark/128/97.png"",""https://cdn.collegefootballdata.com/logos/96/97.png"",""https://cdn.collegefootballdata.com/logos-dark/96/97.png"",""https://cdn.collegefootballdata.com/logos/64/97.png"",""https://cdn.collegefootballdata.com/logos-dark/64/97.png"",""https://cdn.collegefootballdata.com/logos/48/97.png"",""https://cdn.collegefootballdata.com/logos-dark/48/97.png"",""https://cdn.collegefootballdata.com/logos/32/97.png"",""https://cdn.collegefootballdata.com/logos-dark/32/97.png"",""https://cdn.collegefootballdata.com/logos/16/97.png"",""https://cdn.collegefootballdata.com/logos-dark/16/97.png""]",@LouisvilleFB,"{""capacity"":""60000"",""city"":""Louisville"",""constructionYear"":""1998"",""countryCode"":""US"",""dome"":""false"",""elevation"":""138.5615997"",""grass"":""false"",""id"":""3873"",""latitude"":""38.2057621"",""longitude"":""-85.7588141"",""name"":""L&N Federal Credit Union Stadium"",""state"":""KY"",""timezone"":""America/Kentucky/Louisville"",""zip"":""40292""}"
99,LSU,Tigers,LSU,"[""Louisiana State"",""LSU"",""LSU""]",SEC,West,fbs,#461d7c,#fdd023,"[""https://cdn.collegefootballdata.com/logos/500/99.png"",""https://cdn.collegefootballdata.com/logos-dark/500/99.png"",""https://cdn.collegefootballdata.com/logos/256/99.png"",""https://cdn.collegefootballdata.com/logos-dark/256/99.png"",""https://cdn.collegefootballdata.com/logos/128/99.png"",""https://cdn.collegefootballdata.com/logos-dark/128/99.png"",""https://cdn.collegefootballdata.com/logos/96/99.png"",""https://cdn.collegefootballdata.com/logos-dark/96/99.png"",""https://cdn.collegefootballdata.com/logos/64/99.png"",""https://cdn.collegefootballdata.com/logos-dark/64/99.png"",""https://cdn.collegefootballdata.com/logos/48/99.png"",""https://cdn.collegefootballdata.com/logos-dark/48/99.png"",""https://cdn.collegefootballdata.com/logos/32/99.png"",""https://cdn.collegefootballdata.com/logos-dark/32/99.png"",""https://cdn.collegefootballdata.com/logos/16/99.png"",""https://cdn.collegefootballdata.com/logos-dark/16/99.png""]",@LSUFootball,"{""capacity"":""102321"",""city"":""Baton Rouge"",""constructionYear"":""1924"",""countryCode"":""US"",""dome"":""false"",""elevation"":""7.640734673"",""grass"":""true"",""id"":""3958"",""latitude"":""30.412035"",""longitude"":""-91.1838163"",""name"":""Tiger Stadium (LA)"",""state"":""LA"",""timezone"":""America/Chicago"",""zip"":""70803""}"
67,Luther,Norse,LUTH,"[""LUTH"",""Luther""]",American Rivers,null,iii,#015a9c,#a5bbda,"[""https://cdn.collegefootballdata.com/logos/500/67.png"",""https://cdn.collegefootballdata.com/logos-dark/500/67.png"",""https://cdn.collegefootballdata.com/logos/256/67.png"",""https://cdn.collegefootballdata.com/logos-dark/256/67.png"",""https://cdn.collegefootballdata.com/logos/128/67.png"",""https://cdn.collegefootballdata.com/logos-dark/128/67.png"",""https://cdn.collegefootballdata.com/logos/96/67.png"",""https://cdn.collegefootballdata.com/logos-dark/96/67.png"",""https://cdn.collegefootballdata.com/logos/64/67.png"",""https://cdn.collegefootballdata.com/logos-dark/64/67.png"",""https://cdn.collegefootballdata.com/logos/48/67.png"",""https://cdn.collegefootballdata.com/logos-dark/48/67.png"",""https://cdn.collegefootballdata.com/logos/32/67.png"",""https://cdn.collegefootballdata.com/logos-dark/32/67.png"",""https://cdn.collegefootballdata.com/logos/16/67.png"",""https://cdn.collegefootballdata.com/logos-dark/16/67.png""]",null,"{""capacity"":""5000"",""city"":""Decorah"",""constructionYear"":null,""countryCode"":""US"",""dome"":""false"",""elevation"":null,""grass"":null,""id"":""5923"",""latitude"":""43.3041609"",""longitude"":""-91.7859098"",""name"":""Legacy Field in Carlson Stadium"",""state"":""IA"",""timezone"":null,""zip"":null}"
2354,Lycoming,Warriors,LYCO,"[""LYCO"",""Lycoming""]",Landmark Conference,null,iii,#15283f,#eaa22e,"[""https://cdn.collegefootballdata.com/logos/500/2354.png"",""https://cdn.collegefootballdata.com/logos-dark/500/2354.png"",""https://cdn.collegefootballdata.com/logos/256/2354.png"",""https://cdn.collegefootballdata.com/logos-dark/256/2354.png"",""https://cdn.collegefootballdata.com/logos/128/2354.png"",""https://cdn.collegefootballdata.com/logos-dark/128/2354.png"",""https://cdn.collegefootballdata.com/logos/96/2354.png"",""https://cdn.collegefootballdata.com/logos-dark/96/2354.png"",""https://cdn.collegefootballdata.com/logos/64/2354.png"",""https://cdn.collegefootballdata.com/logos-dark/64/2354.png"",""https://cdn.collegefootballdata.com/logos/48/2354.png"",""https://cdn.collegefootballdata.com/logos-dark/48/2354.png"",""https://cdn.collegefootballdata.com/logos/32/2354.png"",""https://cdn.collegefootballdata.com/logos-dark/32/2354.png"",""https://cdn.collegefootballdata.com/logos/16/2354.png"",""https://cdn.collegefootballdata.com/logos-dark/16/2354.png""]",null,"{""capacity"":""3700"",""city"":""Williamsport"",""constructionYear"":null,""countryCode"":""US"",""dome"":""false"",""elevation"":null,""grass"":null,""id"":""5925"",""latitude"":""41.2493292"",""longitude"":""-77.0027671"",""name"":""David Person Field"",""state"":""PA"",""timezone"":null,""zip"":""17701""}"
2359,Macalester,Scots,MAC,"[""MAC"",""Macalester""]",Minnesota,null,iii,#000000,#null,"[""https://cdn.collegefootballdata.com/logos/500/2359.png"",""https://cdn.collegefootballdata.com/logos-dark/500/2359.png"",""https://cdn.collegefootballdata.com/logos/256/2359.png"",""https://cdn.collegefootballdata.com/logos-dark/256/2359.png"",""https://cdn.collegefootballdata.com/logos/128/2359.png"",""https://cdn.collegefootballdata.com/logos-dark/128/2359.png"",""https://cdn.collegefootballdata.com/logos/96/2359.png"",""https://cdn.collegefootballdata.com/logos-dark/96/2359.png"",""https://cdn.collegefootballdata.com/logos/64/2359.png"",""https://cdn.collegefootballdata.com/logos-dark/64/2359.png"",""https://cdn.collegefootballdata.com/logos/48/2359.png"",""https://cdn.collegefootballdata.com/logos-dark/48/2359.png"",""https://cdn.collegefootballdata.com/logos/32/2359.png"",""https://cdn.collegefootballdata.com/logos-dark/32/2359.png"",""https://cdn.collegefootballdata.com/logos/16/2359.png"",""https://cdn.collegefootballdata.com/logos-dark/16/2359.png""]",null,"{""capacity"":""4000"",""city"":""Saint Paul"",""constructionYear"":null,""countryCode"":""US"",""dome"":""false"",""elevation"":null,""grass"":null,""id"":""5928"",""latitude"":""44.9497487"",""longitude"":""-93.0931028"",""name"":""Macalester Stadium"",""state"":""MN"",""timezone"":null,""zip"":null}"
311,Maine,Black Bears,ME,"[""ME"",""Maine""]",Coastal Athletic,null,fcs,#127dbe,#null,"[""https://cdn.collegefootballdata.com/logos/500/311.png"",""https://cdn.collegefootballdata.com/logos-dark/500/311.png"",""https://cdn.collegefootballdata.com/logos/256/311.png"",""https://cdn.collegefootballdata.com/logos-dark/256/311.png"",""https://cdn.collegefootballdata.com/logos/128/311.png"",""https://cdn.collegefootballdata.com/logos-dark/128/311.png"",""https://cdn.collegefootballdata.com/logos/96/311.png"",""https://cdn.collegefootballdata.com/logos-dark/96/311.png"",""https://cdn.collegefootballdata.com/logos/64/311.png"",""https://cdn.collegefootballdata.com/logos-dark/64/311.png"",""https://cdn.collegefootballdata.com/logos/48/311.png"",""https://cdn.collegefootballdata.com/logos-dark/48/311.png"",""https://cdn.collegefootballdata.com/logos/32/311.png"",""https://cdn.collegefootballdata.com/logos-dark/32/311.png"",""https://cdn.collegefootballdata.com/logos/16/311.png"",""https://cdn.collegefootballdata.com/logos-dark/16/311.png""]",@BlackBearsFB,"{""capacity"":""10000"",""city"":""Orono"",""constructionYear"":""1998"",""countryCode"":""US"",""dome"":""false"",""elevation"":""35.4817543"",""grass"":""false"",""id"":""3607"",""latitude"":""44.905128"",""longitude"":""-68.6724718"",""name"":""Alfond Stadium"",""state"":""ME"",""timezone"":""America/New_York"",""zip"":""4469 ""}"
2362,Manchester,Spartans,MNCH,"[""MNCH"",""Manchester""]",Heartland,null,iii,#ddac14,#000000,"[""https://cdn.collegefootballdata.com/logos/500/2362.png"",""https://cdn.collegefootballdata.com/logos-dark/500/2362.png"",""https://cdn.collegefootballdata.com/logos/256/2362.png"",""https://cdn.collegefootballdata.com/logos-dark/256/2362.png"",""https://cdn.collegefootballdata.com/logos/128/2362.png"",""https://cdn.collegefootballdata.com/logos-dark/128/2362.png"",""https://cdn.collegefootballdata.com/logos/96/2362.png"",""https://cdn.collegefootballdata.com/logos-dark/96/2362.png"",""https://cdn.collegefootballdata.com/logos/64/2362.png"",""https://cdn.collegefootballdata.com/logos-dark/64/2362.png"",""https://cdn.collegefootballdata.com/logos/48/2362.png"",""https://cdn.collegefootballdata.com/logos-dark/48/2362.png"",""https://cdn.collegefootballdata.com/logos/32/2362.png"",""https://cdn.collegefootballdata.com/logos-dark/32/2362.png"",""https://cdn.collegefootballdata.com/logos/16/2362.png"",""https://cdn.collegefootballdata.com/logos-dark/16/2362.png""]",null,"{""capacity"":""4500"",""city"":""North Manchester"",""constructionYear"":null,""countryCode"":""US"",""dome"":""false"",""elevation"":null,""grass"":null,""id"":""5930"",""latitude"":""41.0006005"",""longitude"":""-85.768597"",""name"":""Carl W. Burt Memorial Stadium"",""state"":""IN"",""timezone"":null,""zip"":""46962""}"
317,Marietta,Pioneers,MRTT,"[""MRTT"",""Marietta""]",Ohio,null,iii,#000000,#null,"[""https://cdn.collegefootballdata.com/logos/500/317.png"",""https://cdn.collegefootballdata.com/logos-dark/500/317.png"",""https://cdn.collegefootballdata.com/logos/256/317.png"",""https://cdn.collegefootballdata.com/logos-dark/256/317.png"",""https://cdn.collegefootballdata.com/logos/128/317.png"",""https://cdn.collegefootballdata.com/logos-dark/128/317.png"",""https://cdn.collegefootballdata.com/logos/96/317.png"",""https://cdn.collegefootballdata.com/logos-dark/96/317.png"",""https://cdn.collegefootballdata.com/logos/64/317.png"",""https://cdn.collegefootballdata.com/logos-dark/64/317.png"",""https://cdn.collegefootballdata.com/logos/48/317.png"",""https://cdn.collegefootballdata.com/logos-dark/48/317.png"",""https://cdn.collegefootballdata.com/logos/32/317.png"",""https://cdn.collegefootballdata.com/logos-dark/32/317.png"",""https://cdn.collegefootballdata.com/logos/16/317.png"",""https://cdn.collegefootballdata.com/logos-dark/16/317.png""]",null,"{""capacity"":""5000"",""city"":""Marietta"",""constructionYear"":null,""countryCode"":""US"",""dome"":""false"",""elevation"":null,""grass"":null,""id"":""5931"",""latitude"":""39.4167742"",""longitude"":""-81.4548392"",""name"":""Don Drumm Stadium"",""state"":""OH"",""timezone"":null,""zip"":""45750""}"
2368,Marist,Red Foxes,MRST,"[""MRST"",""Marist""]",Pioneer,null,fcs,#e53730,#f0f0f0,"[""https://cdn.collegefootballdata.com/logos/500/2368.png"",""https://cdn.collegefootballdata.com/logos-dark/500/2368.png"",""https://cdn.collegefootballdata.com/logos/256/2368.png"",""https://cdn.collegefootballdata.com/logos-dark/256/2368.png"",""https://cdn.collegefootballdata.com/logos/128/2368.png"",""https://cdn.collegefootballdata.com/logos-dark/128/2368.png"",""https://cdn.collegefootballdata.com/logos/96/2368.png"",""https://cdn.collegefootballdata.com/logos-dark/96/2368.png"",""https://cdn.collegefootballdata.com/logos/64/2368.png"",""https://cdn.collegefootballdata.com/logos-dark/64/2368.png"",""https://cdn.collegefootballdata.com/logos/48/2368.png"",""https://cdn.collegefootballdata.com/logos-dark/48/2368.png"",""https://cdn.collegefootballdata.com/logos/32/2368.png"",""https://cdn.collegefootballdata.com/logos-dark/32/2368.png"",""https://cdn.collegefootballdata.com/logos/16/2368.png"",""https://cdn.collegefootballdata.com/logos-dark/16/2368.png""]",@Marist_Football,"{""capacity"":""5000"",""city"":""Poughkeepsie"",""constructionYear"":""1968"",""countryCode"":""US"",""dome"":""false"",""elevation"":""24.94474983"",""grass"":""false"",""id"":""36"",""latitude"":""41.7191409"",""longitude"":""-73.9329549"",""name"":""Leonidoff Field"",""state"":""NY"",""timezone"":""America/New_York"",""zip"":""12601""}"
276,Marshall,Thundering Herd,MRSH,"[""MRSH"",""Marshall""]",Sun Belt,East,fbs,#00b140,#000000,"[""https://cdn.collegefootballdata.com/logos/500/276.png"",""https://cdn.collegefootballdata.com/logos-dark/500/276.png"",""https://cdn.collegefootballdata.com/logos/256/276.png"",""https://cdn.collegefootballdata.com/logos-dark/256/276.png"",""https://cdn.collegefootballdata.com/logos/128/276.png"",""https://cdn.collegefootballdata.com/logos-dark/128/276.png"",""https://cdn.collegefootballdata.com/logos/96/276.png"",""https://cdn.collegefootballdata.com/logos-dark/96/276.png"",""https://cdn.collegefootballdata.com/logos/64/276.png"",""https://cdn.collegefootballdata.com/logos-dark/64/276.png"",""https://cdn.collegefootballdata.com/logos/48/276.png"",""https://cdn.collegefootballdata.com/logos-dark/48/276.png"",""https://cdn.collegefootballdata.com/logos/32/276.png"",""https://cdn.collegefootballdata.com/logos-dark/32/276.png"",""https://cdn.collegefootballdata.com/logos/16/276.png"",""https://cdn.collegefootballdata.com/logos-dark/16/276.png""]",@HerdFB,"{""capacity"":""38016"",""city"":""Huntington"",""constructionYear"":""1991"",""countryCode"":""US"",""dome"":""false"",""elevation"":""163.7328186"",""grass"":""false"",""id"":""3775"",""latitude"":""38.4247042"",""longitude"":""-82.4214412"",""name"":""Joan C. Edwards Stadium"",""state"":""WV"",""timezone"":""America/New_York"",""zip"":""25755""}"
2369,Mars Hill,Lions,MHU,"[""MHU"",""Mars Hill""]",South Atlantic,null,ii,#004b8d,#efc814,"[""https://cdn.collegefootballdata.com/logos/500/2369.png"",""https://cdn.collegefootballdata.com/logos-dark/500/2369.png"",""https://cdn.collegefootballdata.com/logos/256/2369.png"",""https://cdn.collegefootballdata.com/logos-dark/256/2369.png"",""https://cdn.collegefootballdata.com/logos/128/2369.png"",""https://cdn.collegefootballdata.com/logos-dark/128/2369.png"",""https://cdn.collegefootballdata.com/logos/96/2369.png"",""https://cdn.collegefootballdata.com/logos-dark/96/2369.png"",""https://cdn.collegefootballdata.com/logos/64/2369.png"",""https://cdn.collegefootballdata.com/logos-dark/64/2369.png"",""https://cdn.collegefootballdata.com/logos/48/2369.png"",""https://cdn.collegefootballdata.com/logos-dark/48/2369.png"",""https://cdn.collegefootballdata.com/logos/32/2369.png"",""https://cdn.collegefootballdata.com/logos-dark/32/2369.png"",""https://cdn.collegefootballdata.com/logos/16/2369.png"",""https://cdn.collegefootballdata.com/logos-dark/16/2369.png""]",null,"{""capacity"":""5000"",""city"":""Mars Hill"",""constructionYear"":null,""countryCode"":""US"",""dome"":""false"",""elevation"":null,""grass"":null,""id"":""6046"",""latitude"":""35.82685585"",""longitude"":""-82.55057686987725"",""name"":""Meares Stadium"",""state"":""NC"",""timezone"":null,""zip"":null}"
446,Martin Luther,Knights,MLC,"[""MLC"",""Martin Luther""]",Upper Midwest,null,iii,#000000,#null,"[""https://cdn.collegefootballdata.com/logos/500/446.png"",""https://cdn.collegefootballdata.com/logos-dark/500/446.png"",""https://cdn.collegefootballdata.com/logos/256/446.png"",""https://cdn.collegefootballdata.com/logos-dark/256/446.png"",""https://cdn.collegefootballdata.com/logos/128/446.png"",""https://cdn.collegefootballdata.com/logos-dark/128/446.png"",""https://cdn.collegefootballdata.com/logos/96/446.png"",""https://cdn.collegefootballdata.com/logos-dark/96/446.png"",""https://cdn.collegefootballdata.com/logos/64/446.png"",""https://cdn.collegefootballdata.com/logos-dark/64/446.png"",""https://cdn.collegefootballdata.com/logos/48/446.png"",""https://cdn.collegefootballdata.com/logos-dark/48/446.png"",""https://cdn.collegefootballdata.com/logos/32/446.png"",""https://cdn.collegefootballdata.com/logos-dark/32/446.png"",""https://cdn.collegefootballdata.com/logos/16/446.png"",""https://cdn.collegefootballdata.com/logos-dark/16/446.png""]",null,"{""capacity"":""2500"",""city"":""New Ulm"",""constructionYear"":null,""countryCode"":""US"",""dome"":""false"",""elevation"":null,""grass"":null,""id"":""3843"",""latitude"":""44.3140261"",""longitude"":""-94.4614177"",""name"":""MLC Bowl"",""state"":""MN"",""timezone"":null,""zip"":""56073""}"
2371,Mary Hardin Baylor,Crusaders,MHB,"[""MHB"",""Mary Hardin""]",American Southwest,null,iii,#492f92,#fece1c,"[""https://cdn.collegefootballdata.com/logos/500/2371.png"",""https://cdn.collegefootballdata.com/logos-dark/500/2371.png"",""https://cdn.collegefootballdata.com/logos/256/2371.png"",""https://cdn.collegefootballdata.com/logos-dark/256/2371.png"",""https://cdn.collegefootballdata.com/logos/128/2371.png"",""https://cdn.collegefootballdata.com/logos-dark/128/2371.png"",""https://cdn.collegefootballdata.com/logos/96/2371.png"",""https://cdn.collegefootballdata.com/logos-dark/96/2371.png"",""https://cdn.collegefootballdata.com/logos/64/2371.png"",""https://cdn.collegefootballdata.com/logos-dark/64/2371.png"",""https://cdn.collegefootballdata.com/logos/48/2371.png"",""https://cdn.collegefootballdata.com/logos-dark/48/2371.png"",""https://cdn.collegefootballdata.com/logos/32/2371.png"",""https://cdn.collegefootballdata.com/logos-dark/32/2371.png"",""https://cdn.collegefootballdata.com/logos/16/2371.png"",""https://cdn.collegefootballdata.com/logos-dark/16/2371.png""]",null,"{""capacity"":""7671"",""city"":""Belton"",""constructionYear"":null,""countryCode"":""US"",""dome"":""false"",""elevation"":null,""grass"":null,""id"":""4463"",""latitude"":""31.0560132"",""longitude"":""-97.464453"",""name"":""Crusader Stadium"",""state"":""TX"",""timezone"":null,""zip"":""76513""}"
